name,adress
Ica Kvantum Teleborg,063 Mallard Terrace
Willy:s Teleborg,29 Kings Alley
Ica Nära Norviken,04 Dovetail Trail
city Gross Växjö,403 Carioca Place
ICA Maxi Supermarket Sommarkand,1807 Ohio Avenue
Coop Växjö Emil Lindells Väg,2 Morning Street
Lidle Teleborg,02 Manitowish Place
Eire,61 Briar Crest Hill
Trunyx,9 Muir Parkway
Teklist,253 Sommers Hill
Skajo,3 Moose Alley
Eidel,20325 Del Sol Hill
Tagtune,186 Stang Center
Wordware,8 Kennedy Park
Fadeo,82 Oakridge Point
Rhycero,9895 Russell Road
Demimbu,29687 Dottie Road
Rhynyx,6300 Macpherson Pass
Kwimbee,59 Sheridan Alley
Skyndu,637 Summit Junction
Dazzlesphere,16327 Russell Circle
Yodo,652 Sachtjen Drive
Divanoodle,33575 Anhalt Alley
Zazio,118 Ridgeway Alley
Jetpulse,3058 Canary Parkway
Photobug,40 Starling Avenue
Pixope,1 Hanover Junction
Wikizz,77134 Glendale Crossing
Shuffledrive,46 Main Park
Browsetype,2236 1st Crossing
Dynabox,710 Kings Trail
Quaxo,784 Thompson Court
Gabcube,44612 Walton Circle
Flipstorm,59032 Clarendon Drive
Linkbridge,8 Milwaukee Court
Wordtune,5919 Graceland Road
Brainsphere,0909 Esch Court
Leexo,01859 Westridge Trail
